timestamp,message,logStreamName
1748454778081,> coffee_api@1.0.0 start /usr/src/app,awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748454778081,> APP_DB_HOST=$APP_DB_HOST node index.js,awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748454778476,"[NOTICE] Value for key 'APP_DB_USER' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748454778477,"[NOTICE] Value for key 'APP_DB_PASSWORD' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748454778478,"[NOTICE] Value for key 'APP_DB_NAME' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748454778746,Server is running on port 8080.,awslogs-capstone/customer/a7674fc58a264366a58b80a6258869c6
1748455849056,> coffee_api@1.0.0 start /usr/src/app,awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455849056,> APP_DB_HOST=$APP_DB_HOST node index.js,awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455849456,"[NOTICE] Value for key 'APP_DB_USER' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455849457,"[NOTICE] Value for key 'APP_DB_PASSWORD' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455849457,"[NOTICE] Value for key 'APP_DB_NAME' not found in ENV, using default value.  See app/config/config.js",awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455849670,Server is running on port 8080.,awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455855429,suppliers:  [ TextRow {,awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
1748455855429,"    id: 1,",awslogs-capstone/employee/007ba14e6c754bd19dcd9d03c66002aa
